Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
21-03-2025,22-03-2025,1.0,106-Executive Suite with Balcony,2100.0
21-03-2025,22-03-2025,1.0,110-Deluxe without Balcony,1600.0
21-03-2025,22-03-2025,1.0,111-Deluxe without Balcony,1710.0
11-04-2025,12-04-2025,1.0,114-Family Suite (4B),4200.0
11-04-2025,12-04-2025,1.0,105-Family Suite (3B),3200.0
11-04-2025,12-04-2025,1.0,102-Deluxe with Balcony,2100.0
22-03-2025,23-03-2025,1.0,206-Executive Suite with Balcony,5040.0
22-03-2025,23-03-2025,1.0,207-Executive Suite with Balcony,6070.0
21-03-2025,22-03-2025,1.0,210-Deluxe without Balcony,2095.0
22-03-2025,23-03-2025,1.0,216-Deluxe Room (Non-AC),1058.4
22-03-2025,23-03-2025,1.0,304-Zen Room with Balcony,3150.56
22-03-2025,23-03-2025,1.0,303-Zen Room with Balcony,4950.56
22-03-2025,23-03-2025,1.0,219-Deluxe Room (Non-AC),1072.77
22-03-2025,24-03-2025,2.0,109-Deluxe without Balcony,5640.0
24-03-2025,25-03-2025,1.0,216-Deluxe Room (Non-AC),893.96
15-04-2025,18-04-2025,3.0,216-Deluxe Room (Non-AC),2681.88
29-03-2025,31-03-2025,2.0,108-Deluxe without Balcony,3600.0
29-03-2025,31-03-2025,2.0,306-Zen Room with Balcony,7500.0
29-03-2025,31-03-2025,2.0,109-Deluxe without Balcony,3600.0
22-03-2025,23-03-2025,1.0,212-Family Suite (4B),6500.0
22-03-2025,23-03-2025,1.0,204-Deluxe with Balcony,2100.0
22-03-2025,23-03-2025,1.0,111-Deluxe without Balcony,1700.0
22-03-2025,23-03-2025,1.0,106-Executive Suite with Balcony,2000.0
22-03-2025,23-03-2025,1.0,107-Executive Suite with Balcony,2000.0
22-03-2025,24-03-2025,2.0,214-Deluxe without Balcony,3760.0
22-03-2025,24-03-2025,2.0,215-Deluxe without Balcony,3000.0
22-03-2025,23-03-2025,1.0,305-Zen Room with Balcony,2100.0
22-03-2025,23-03-2025,1.0,306-Zen Room with Balcony,1800.0
22-03-2025,23-03-2025,1.0,110-Deluxe without Balcony,1700.0
22-03-2025,23-03-2025,1.0,210-Deluxe without Balcony,1700.0
20-04-2025,23-04-2025,3.0,216-Deluxe Room (Non-AC),3528.0
22-03-2025,23-03-2025,1.0,314-Zen Room with Balcony,3290.0
22-03-2025,23-03-2025,1.0,302-Zen Room with Balcony,2690.0
22-03-2025,23-03-2025,1.0,114-Family Suite (4B),3620.0
22-03-2025,23-03-2025,1.0,115-Family Suite (4B),3930.0
22-03-2025,23-03-2025,1.0,307-Zen Room with Balcony,1800.0
29-03-2025,30-03-2025,1.0,101-Deluxe with Balcony,5153.1
29-03-2025,30-03-2025,1.0,102-Deluxe with Balcony,4145.1
23-03-2025,24-03-2025,1.0,218-Deluxe Room (Non-AC),1811.2
23-03-2025,24-03-2025,1.0,106-Executive Suite with Balcony,2394.56
23-03-2025,30-03-2025,7.0,210-Deluxe without Balcony,12130.0
23-03-2025,25-03-2025,2.0,204-Deluxe with Balcony,4400.0
23-03-2025,24-03-2025,1.0,108-Deluxe without Balcony,1500.0
23-03-2025,24-03-2025,1.0,110-Deluxe without Balcony,1640.0
23-03-2025,24-03-2025,1.0,101-Deluxe with Balcony,2210.0
12-04-2025,14-04-2025,2.0,115-Family Suite (4B),4400.0
12-04-2025,14-04-2025,2.0,114-Family Suite (4B),9915.0
23-03-2025,24-03-2025,1.0,115-Family Suite (4B),4060.0
24-03-2025,25-03-2025,1.0,110-Deluxe without Balcony,2570.0
26-03-2025,27-03-2025,1.0,216-Deluxe Room (Non-AC),1270.08
24-03-2025,25-03-2025,1.0,217-Deluxe Room (Non-AC),1200.0
24-03-2025,25-03-2025,1.0,218-Deluxe Room (Non-AC),1250.0
24-03-2025,25-03-2025,1.0,219-Deluxe Room (Non-AC),2090.0
25-03-2025,26-03-2025,1.0,216-Deluxe Room (Non-AC),1176.0
29-03-2025,30-03-2025,1.0,217-Deluxe Room (Non-AC),893.96
30-03-2025,01-04-2025,2.0,216-Deluxe Room (Non-AC),2352.0
25-03-2025,26-03-2025,1.0,108-Deluxe without Balcony,1780.0
25-03-2025,26-03-2025,1.0,109-Deluxe without Balcony,1600.0
