Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
24-05-2025,25-05-2025,1.0,217-Deluxe Room (Non-AC),1196.68
22-05-2025,24-05-2025,2.0,103-Deluxe with Balcony,3661.5
22-05-2025,24-05-2025,2.0,102-Deluxe with Balcony,4617.0
22-05-2025,23-05-2025,1.0,106-Executive Suite with Balcony,2726.0
22-05-2025,23-05-2025,1.0,107-Executive Suite with Balcony,4301.0
26-05-2025,27-05-2025,1.0,110-Deluxe without Balcony,2032.52
22-05-2025,23-05-2025,1.0,214-Deluxe without Balcony,1626.0
22-05-2025,23-05-2025,1.0,215-Deluxe without Balcony,1500.0
22-05-2025,23-05-2025,1.0,115-Family Suite (4B),3955.5
24-05-2025,25-05-2025,1.0,215-Deluxe without Balcony,2032.52
23-05-2025,23-05-2025,0.0,109-Deluxe without Balcony,3112.5
23-05-2025,23-05-2025,0.0,111-Deluxe without Balcony,1800.0
24-05-2025,25-05-2025,1.0,218-Deluxe Room (Non-AC),1532.52
24-05-2025,25-05-2025,1.0,219-Deluxe Room (Non-AC),1532.52
24-05-2025,25-05-2025,1.0,108-Deluxe without Balcony,2849.9
23-05-2025,24-05-2025,1.0,201-Deluxe with Balcony,2710.0
23-05-2025,24-05-2025,1.0,202-Deluxe with Balcony,2500.0
23-05-2025,24-05-2025,1.0,203-Deluxe with Balcony,2500.0
23-05-2025,24-05-2025,1.0,204-Deluxe with Balcony,2500.0
23-05-2025,24-05-2025,1.0,115-Family Suite (4B),3262.5
23-05-2025,25-05-2025,2.0,206-Executive Suite with Balcony,5657.5
23-05-2025,25-05-2025,2.0,107-Executive Suite with Balcony,5542.0
23-05-2025,25-05-2025,2.0,205-Family Suite (3B),5641.75
23-05-2025,24-05-2025,1.0,108-Deluxe without Balcony,2959.5
24-05-2025,25-05-2025,1.0,115-Family Suite (4B),5236.0
25-05-2025,27-05-2025,2.0,116-Deluxe Room (Non-AC),3393.6
24-05-2025,25-05-2025,1.0,216-Deluxe Room (Non-AC),1600.0
24-05-2025,25-05-2025,1.0,114-Family Suite (4B),4920.0
24-05-2025,25-05-2025,1.0,212-Family Suite (4B),6564.5
24-05-2025,25-05-2025,1.0,105-Family Suite (3B),3598.5
24-05-2025,25-05-2025,1.0,111-Deluxe without Balcony,5265.5
24-05-2025,25-05-2025,1.0,109-Deluxe without Balcony,3312.5
24-05-2025,25-05-2025,1.0,110-Deluxe without Balcony,2000.0
24-05-2025,25-05-2025,1.0,203-Deluxe with Balcony,3371.5
24-05-2025,25-05-2025,1.0,101-Deluxe with Balcony,2800.0
24-05-2025,25-05-2025,1.0,210-Deluxe without Balcony,2500.0
24-05-2025,25-05-2025,1.0,202-Deluxe with Balcony,4190.5
24-05-2025,25-05-2025,1.0,305-Zen Room with Balcony,2521.0
24-05-2025,25-05-2025,1.0,211-Deluxe without Balcony,2418.0
24-05-2025,25-05-2025,1.0,204-Deluxe with Balcony,2292.0
24-05-2025,25-05-2025,1.0,313-Zen Room with Balcony,2600.0
24-05-2025,25-05-2025,1.0,314-Zen Room with Balcony,2600.0
24-05-2025,25-05-2025,1.0,104-Deluxe with Balcony,2000.0
24-05-2025,25-05-2025,1.0,103-Deluxe with Balcony,2357.0
24-05-2025,25-05-2025,1.0,301-Zen Room with Balcony,3371.5
24-05-2025,25-05-2025,1.0,312-Zen Room with Balcony,2821.0
24-05-2025,25-05-2025,1.0,303-Zen Room with Balcony,3985.5
24-05-2025,25-05-2025,1.0,308-Zen Room with Balcony,2400.0
24-05-2025,25-05-2025,1.0,102-Deluxe with Balcony,2000.0
24-05-2025,25-05-2025,1.0,201-Deluxe with Balcony,2240.0
24-05-2025,25-05-2025,1.0,207-Executive Suite with Balcony,4996.25
24-05-2025,25-05-2025,1.0,311-Zen Room with Balcony,4060.0
24-05-2025,25-05-2025,1.0,309-Zen Room with Balcony,2525.0
25-05-2025,26-05-2025,1.0,115-Family Suite (4B),4613.0
25-05-2025,26-05-2025,1.0,216-Deluxe Room (Non-AC),1300.0
25-05-2025,26-05-2025,1.0,110-Deluxe without Balcony,2955.5
25-05-2025,26-05-2025,1.0,218-Deluxe Room (Non-AC),1300.0
27-05-2025,29-05-2025,2.0,216-Deluxe Room (Non-AC),2999.0
25-05-2025,26-05-2025,1.0,206-Executive Suite with Balcony,2926.0
25-05-2025,26-05-2025,1.0,204-Deluxe with Balcony,2982.75
25-05-2025,26-05-2025,1.0,212-Family Suite (4B),4000.0
25-05-2025,26-05-2025,1.0,210-Deluxe without Balcony,2500.0
25-05-2025,26-05-2025,1.0,211-Deluxe without Balcony,3854.5
25-05-2025,26-05-2025,1.0,101-Deluxe with Balcony,2388.0
25-05-2025,26-05-2025,1.0,114-Family Suite (4B),6237.0
25-05-2025,26-05-2025,1.0,105-Family Suite (3B),3021.0
25-05-2025,26-05-2025,1.0,111-Deluxe without Balcony,2200.0
03-06-2025,06-06-2025,3.0,108-Deluxe without Balcony,6873.0
03-06-2025,06-06-2025,3.0,109-Deluxe without Balcony,6642.0
26-05-2025,27-05-2025,1.0,108-Deluxe without Balcony,2990.0
26-05-2025,27-05-2025,1.0,109-Deluxe without Balcony,2150.0
27-05-2025,28-05-2025,1.0,206-Executive Suite with Balcony,3077.5
26-05-2025,28-05-2025,2.0,101-Deluxe with Balcony,3931.0
26-05-2025,27-05-2025,1.0,102-Deluxe with Balcony,1700.0
09-06-2025,10-06-2025,1.0,205-Family Suite (3B),2800.0
26-05-2025,27-05-2025,1.0,114-Family Suite (4B),3600.0
26-05-2025,27-05-2025,1.0,107-Executive Suite with Balcony,3739.5
26-05-2025,28-05-2025,2.0,205-Family Suite (3B),6702.0
26-05-2025,28-05-2025,2.0,105-Family Suite (3B),5400.0
26-05-2025,28-05-2025,2.0,111-Deluxe without Balcony,6530.5
27-05-2025,29-05-2025,2.0,107-Executive Suite with Balcony,5967.0
28-05-2025,29-05-2025,1.0,203-Deluxe with Balcony,2433.38
27-05-2025,29-05-2025,2.0,204-Deluxe with Balcony,5304.5
27-05-2025,28-05-2025,1.0,218-Deluxe Room (Non-AC),2060.8
27-05-2025,29-05-2025,2.0,115-Family Suite (4B),6326.0
27-05-2025,28-05-2025,1.0,109-Deluxe without Balcony,2590.0
27-05-2025,28-05-2025,1.0,110-Deluxe without Balcony,1876.0
27-05-2025,28-05-2025,1.0,201-Deluxe with Balcony,4850.0
27-05-2025,28-05-2025,1.0,202-Deluxe with Balcony,1700.0
27-05-2025,28-05-2025,1.0,212-Family Suite (4B),4242.0
27-05-2025,28-05-2025,1.0,103-Deluxe with Balcony,1600.0
27-05-2025,28-05-2025,1.0,104-Deluxe with Balcony,1600.0
07-06-2025,08-06-2025,1.0,216-Deluxe Room (Non-AC),2576.0
07-06-2025,08-06-2025,1.0,217-Deluxe Room (Non-AC),2576.0
07-06-2025,08-06-2025,1.0,218-Deluxe Room (Non-AC),2576.0
28-05-2025,29-05-2025,1.0,114-Family Suite (4B),5155.0
28-05-2025,29-05-2025,1.0,109-Deluxe without Balcony,1768.0
28-05-2025,29-05-2025,1.0,110-Deluxe without Balcony,1600.0
28-05-2025,29-05-2025,1.0,105-Family Suite (3B),2935.25
07-06-2025,08-06-2025,1.0,212-Family Suite (4B),4200.0
07-06-2025,08-06-2025,1.0,115-Family Suite (4B),4200.0
29-05-2025,01-06-2025,3.0,116-Deluxe Room (Non-AC),5999.64
29-05-2025,31-05-2025,2.0,114-Family Suite (4B),7084.0
29-05-2025,30-05-2025,1.0,115-Family Suite (4B),3741.5
29-05-2025,30-05-2025,1.0,212-Family Suite (4B),6453.0
29-05-2025,01-06-2025,3.0,110-Deluxe without Balcony,4800.0
31-05-2025,02-06-2025,2.0,204-Deluxe with Balcony,3810.0
30-05-2025,31-05-2025,1.0,202-Deluxe with Balcony,2300.0
30-05-2025,31-05-2025,1.0,203-Deluxe with Balcony,2300.0
30-05-2025,31-05-2025,1.0,201-Deluxe with Balcony,2300.0
29-05-2025,30-05-2025,1.0,103-Deluxe with Balcony,1968.0
29-05-2025,30-05-2025,1.0,104-Deluxe with Balcony,1800.0
29-05-2025,30-05-2025,1.0,105-Family Suite (3B),3500.0
29-05-2025,31-05-2025,2.0,215-Deluxe without Balcony,4126.0
29-05-2025,01-06-2025,3.0,210-Deluxe without Balcony,5400.0
29-05-2025,30-05-2025,1.0,205-Family Suite (3B),5253.5
30-05-2025,02-06-2025,3.0,206-Executive Suite with Balcony,10454.5
30-05-2025,02-06-2025,3.0,207-Executive Suite with Balcony,13963.5
21-06-2025,22-06-2025,1.0,116-Deluxe Room (Non-AC),2576.0
30-05-2025,01-06-2025,2.0,106-Executive Suite with Balcony,3866.76
30-05-2025,01-06-2025,2.0,107-Executive Suite with Balcony,3866.76
30-05-2025,31-05-2025,1.0,115-Family Suite (4B),4088.0
30-05-2025,31-05-2025,1.0,111-Deluxe without Balcony,2210.0
30-05-2025,01-06-2025,2.0,101-Deluxe with Balcony,8961.34
30-05-2025,01-06-2025,2.0,102-Deluxe with Balcony,6808.84
30-05-2025,01-06-2025,2.0,211-Deluxe without Balcony,4283.5
30-05-2025,31-05-2025,1.0,108-Deluxe without Balcony,2000.0
30-05-2025,31-05-2025,1.0,101-Deluxe with Balcony,2252.0
30-05-2025,31-05-2025,1.0,102-Deluxe with Balcony,2000.0
30-05-2025,31-05-2025,1.0,103-Deluxe with Balcony,2000.0
30-05-2025,31-05-2025,1.0,104-Deluxe with Balcony,2000.0
30-05-2025,01-06-2025,2.0,109-Deluxe without Balcony,4430.5
30-05-2025,31-05-2025,1.0,212-Family Suite (4B),4210.0
30-05-2025,31-05-2025,1.0,205-Family Suite (3B),3794.0
03-06-2025,05-06-2025,2.0,114-Family Suite (4B),8937.6
03-06-2025,05-06-2025,2.0,115-Family Suite (4B),9651.6
31-05-2025,01-06-2025,1.0,108-Deluxe without Balcony,4390.4
31-05-2025,01-06-2025,1.0,111-Deluxe without Balcony,2560.8
30-05-2025,31-05-2025,1.0,214-Deluxe without Balcony,1800.0
31-05-2025,01-06-2025,1.0,201-Deluxe with Balcony,2284.0
31-05-2025,01-06-2025,1.0,103-Deluxe with Balcony,2500.0
31-05-2025,01-06-2025,1.0,202-Deluxe with Balcony,2136.5
31-05-2025,01-06-2025,1.0,203-Deluxe with Balcony,2126.0
31-05-2025,01-06-2025,1.0,114-Family Suite (4B),5634.0
31-05-2025,01-06-2025,1.0,115-Family Suite (4B),5779.75
31-05-2025,02-06-2025,2.0,104-Deluxe with Balcony,5008.5
31-05-2025,01-06-2025,1.0,217-Deluxe Room (Non-AC),1600.0
31-05-2025,01-06-2025,1.0,218-Deluxe Room (Non-AC),1600.0
31-05-2025,01-06-2025,1.0,105-Family Suite (3B),3220.0
31-05-2025,01-06-2025,1.0,214-Deluxe without Balcony,1800.0
31-05-2025,01-06-2025,1.0,215-Deluxe without Balcony,2000.0
31-05-2025,01-06-2025,1.0,219-Deluxe Room (Non-AC),1500.0
31-05-2025,01-06-2025,1.0,212-Family Suite (4B),4560.5
31-05-2025,01-06-2025,1.0,205-Family Suite (3B),4812.5
31-05-2025,01-06-2025,1.0,302-Zen Room with Balcony,2500.0
01-06-2025,01-06-2025,0.0,106-Executive Suite with Balcony,2600.0
